BetaP_SE_0, BetaP_SE_1, rho_0,gamma_ei,gamma_ir,S0_0, E0_0, I0_0, R0_0, S_0_0, E_0_0, I_0_0, R_0_0, S_star_0_0, E_star_0_0, I_star_0_0, R_star_0_0, P_SE_0_0, S_0_1, E_0_1, I_0_1, R_0_1, S_star_0_1, E_star_0_1, I_star_0_1, R_star_0_1, P_SE_0_1, S_0_2, E_0_2, I_0_2, R_0_2, S_star_0_2, E_star_0_2, I_star_0_2, R_star_0_2, P_SE_0_2, S_0_3, E_0_3, I_0_3, R_0_3, S_star_0_3, E_star_0_3, I_star_0_3, R_star_0_3, P_SE_0_3, S_0_4, E_0_4, I_0_4, R_0_4, S_star_0_4, E_star_0_4, I_star_0_4, R_star_0_4, P_SE_0_4, S_0_5, E_0_5, I_0_5, R_0_5, S_star_0_5, E_star_0_5, I_star_0_5, R_star_0_5, P_SE_0_5, S_0_6, E_0_6, I_0_6, R_0_6, S_star_0_6, E_star_0_6, I_star_0_6, R_star_0_6, P_SE_0_6, S_0_7, E_0_7, I_0_7, R_0_7, S_star_0_7, E_star_0_7, I_star_0_7, R_star_0_7, P_SE_0_7, S_0_8, E_0_8, I_0_8, R_0_8, S_star_0_8, E_star_0_8, I_star_0_8, R_star_0_8, P_SE_0_8, S_0_9, E_0_9, I_0_9, R_0_9, S_star_0_9, E_star_0_9, I_star_0_9, R_star_0_9, P_SE_0_9, S_0_10, E_0_10, I_0_10, R_0_10, S_star_0_10, E_star_0_10, I_star_0_10, R_star_0_10, P_SE_0_10, S_0_11, E_0_11, I_0_11, R_0_11, S_star_0_11, E_star_0_11, I_star_0_11, R_star_0_11, P_SE_0_11, S_0_12, E_0_12, I_0_12, R_0_12, S_star_0_12, E_star_0_12, I_star_0_12, R_star_0_12, P_SE_0_12, S_0_13, E_0_13, I_0_13, R_0_13, S_star_0_13, E_star_0_13, I_star_0_13, R_star_0_13, P_SE_0_13, S_0_14, E_0_14, I_0_14, R_0_14, S_star_0_14, E_star_0_14, I_star_0_14, R_star_0_14, P_SE_0_14, S_0_15, E_0_15, I_0_15, R_0_15, S_star_0_15, E_star_0_15, I_star_0_15, R_star_0_15, P_SE_0_15, S_0_16, E_0_16, I_0_16, R_0_16, S_star_0_16, E_star_0_16, I_star_0_16, R_star_0_16, P_SE_0_16, S_0_17, E_0_17, I_0_17, R_0_17, S_star_0_17, E_star_0_17, I_star_0_17, R_star_0_17, P_SE_0_17, S_0_18, E_0_18, I_0_18, R_0_18, S_star_0_18, E_star_0_18, I_star_0_18, R_star_0_18, P_SE_0_18, S_0_19, E_0_19, I_0_19, R_0_19, S_star_0_19, E_star_0_19, I_star_0_19, R_star_0_19, P_SE_0_19, S_0_20, E_0_20, I_0_20, R_0_20, S_star_0_20, E_star_0_20, I_star_0_20, R_star_0_20, P_SE_0_20, S_0_21, E_0_21, I_0_21, R_0_21, S_star_0_21, E_star_0_21, I_star_0_21, R_star_0_21, P_SE_0_21, S_0_22, E_0_22, I_0_22, R_0_22, S_star_0_22, E_star_0_22, I_star_0_22, R_star_0_22, P_SE_0_22, S_0_23, E_0_23, I_0_23, R_0_23, S_star_0_23, E_star_0_23, I_star_0_23, R_star_0_23, P_SE_0_23, S_0_24, E_0_24, I_0_24, R_0_24, S_star_0_24, E_star_0_24, I_star_0_24, R_star_0_24, P_SE_0_24, S_0_25, E_0_25, I_0_25, R_0_25, S_star_0_25, E_star_0_25, I_star_0_25, R_star_0_25, P_SE_0_25, S_0_26, E_0_26, I_0_26, R_0_26, S_star_0_26, E_star_0_26, I_star_0_26, R_star_0_26, P_SE_0_26, Iteration,Time
3.46178,0,0.0665881,0.263263,0.113661,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.999998, 29, 1, 2, 0, 0, 1, 1, 1, 0.999999, 28, 1, 2, 1, 0, 3, 1, 1, 0.981393, 25, 3, 2, 2, 0, 0, 3, 1, 0.997462, 25, 0, 4, 3, 0, 0, 0, 3, 0.981393, 25, 0, 1, 6, 0, 1, 0, 0, 0.982937, 24, 1, 1, 6, 0, 0, 1, 0, 0.993833, 24, 0, 2, 6, 0, 1, 0, 1, 0.997462, 23, 1, 1, 7, 0, 2, 1, 0, 0.866152, 21, 2, 2, 7, 0, 1, 2, 1, 0.981922, 20, 1, 3, 8, 0, 0, 1, 2, 1, 20, 0, 2, 10, 0, 0, 0, 1, 0.997462, 20, 0, 1, 11, 0, 1, 0, 0, 0.635958, 19, 1, 1, 11, 0, 0, 1, 0, 0.982937, 19, 0, 2, 11, 0, 0, 0, 1, 0.866513, 19, 0, 1, 12, 0, 0, 0, 0, 0.635958, 19, 0, 1, 12, 0, 0, 0, 0, 0.638577, 19, 0, 1, 12, 0, 0, 0, 0, 0.867876, 19, 0, 1, 12, 0, 0, 0, 0, 0.641985, 19, 0, 1, 12, 0, 0, 0, 0, 0.993833, 19, 0, 1, 12, 0, 0, 0, 0, 0.994462, 19, 0, 1, 12, 0, 0, 0, 0, 0.993606, 19, 0, 1, 12, 0, 0, 0, 0, 0.638577, 19, 0, 1, 12, 0, 0, 0, 0, 0.999063, 19, 0, 1, 12, 0, 0, 0, 0, 0.999063, 19, 0, 1, 12, 0, 0, 0, 0, 0.999063, 19, 0, 1, 12, 0, 0, 0, 0, 0.999063, 0,0
-1.54699,-0.0754263,0.740575,0.507462,0.191012,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0828516, 29, 1, 2, 0, 0, 1, 1, 1, 0.088933, 28, 1, 2, 1, 0, 3, 1, 1, 0.0262601, 25, 3, 2, 2, 0, 0, 3, 1, 0.0391305, 25, 0, 4, 3, 0, 0, 0, 3, 0.0262601, 25, 0, 1, 6, 0, 1, 0, 0, 0.0325061, 24, 1, 1, 6, 0, 0, 1, 0, 0.0404662, 24, 0, 2, 6, 0, 1, 0, 2, 0.0391305, 23, 1, 0, 8, 0, 2, 1, 0, 0.00140669, 21, 2, 1, 8, 0, 1, 2, 1, 0.0153318, 20, 1, 2, 9, 0, 0, 1, 2, 0.064363, 20, 0, 1, 11, 0, 0, 0, 1, 0.0197605, 20, 0, 0, 12, 0, 1, 0, 0, 0.00107194, 19, 1, 0, 12, 0, 0, 1, 0, 0.00641444, 19, 0, 1, 12, 0, 0, 0, 1, 0.00822751, 19, 0, 0, 13, 0, 0, 0, 0, 0.0026777, 19, 0, 0, 13, 0, 0, 0, 0, 0.00297934, 19, 0, 0, 13, 0, 0, 0, 0, 0.00444679, 19, 0, 0, 13, 0, 0, 0, 0, 0.00289589, 19, 0, 0, 13, 0, 0, 0, 0, 0.00812662, 19, 0, 0, 13, 0, 0, 0, 0, 0.00833992, 19, 0, 0, 13, 0, 0, 0, 0, 0.00319325, 19, 0, 0, 13, 0, 0, 0, 0, 0.000711585, 19, 0, 0, 13, 0, 0, 0, 0, 0.00146835, 19, 0, 0, 13, 0, 0, 0, 0, 0.000866284, 19, 0, 0, 13, 0, 0, 0, 0, 0.000511019, 19, 0, 0, 13, 0, 0, 0, 0, 0.000301427, 1000,0
-1.48412,-0.0685197,0.986809,0.409811,0.182493,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0879842, 29, 1, 2, 0, 0, 1, 1, 1, 0.0944225, 28, 1, 2, 1, 0, 3, 1, 1, 0.0279401, 25, 3, 2, 2, 0, 0, 3, 1, 0.041616, 25, 0, 4, 3, 0, 0, 0, 3, 0.0279401, 25, 0, 1, 6, 0, 1, 0, 0, 0.0367757, 24, 1, 1, 6, 0, 0, 1, 1, 0.0457563, 24, 0, 1, 7, 0, 1, 0, 1, 0.0210291, 23, 1, 0, 8, 0, 2, 1, 0, 0.00199544, 21, 2, 1, 8, 0, 1, 2, 1, 0.0170653, 20, 1, 2, 9, 0, 0, 1, 2, 0.0683934, 20, 0, 1, 11, 0, 0, 0, 1, 0.0210291, 20, 0, 0, 12, 0, 1, 0, 0, 0.00152069, 19, 1, 0, 12, 0, 0, 1, 0, 0.00908955, 19, 0, 1, 12, 0, 0, 0, 1, 0.0093235, 19, 0, 0, 13, 0, 0, 0, 0, 0.0037974, 19, 0, 0, 13, 0, 0, 0, 0, 0.00425413, 19, 0, 0, 13, 0, 0, 0, 0, 0.00643546, 19, 0, 0, 13, 0, 0, 0, 0, 0.00422143, 19, 0, 0, 13, 0, 0, 0, 0, 0.0122454, 19, 0, 0, 13, 0, 0, 0, 0, 0.0130047, 19, 0, 0, 13, 0, 0, 0, 0, 0.00516134, 19, 0, 0, 13, 0, 0, 0, 0, 0.00115901, 19, 0, 0, 13, 0, 0, 0, 0, 0.00250933, 19, 0, 0, 13, 0, 0, 0, 0, 0.00155403, 19, 0, 0, 13, 0, 0, 0, 0, 0.000962244, 19, 0, 0, 13, 0, 0, 0, 0, 0.000595745, 2000,1
-1.70227,-0.0560625,0.827339,0.328664,0.197421,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0713719, 29, 1, 2, 0, 0, 1, 1, 1, 0.0766462, 28, 1, 2, 1, 0, 3, 1, 1, 0.0225261, 25, 3, 2, 2, 0, 0, 3, 1, 0.0335981, 25, 0, 4, 3, 0, 0, 0, 3, 0.0225261, 25, 0, 1, 6, 0, 1, 0, 0, 0.028524, 24, 1, 1, 6, 0, 0, 1, 1, 0.035527, 24, 0, 1, 7, 0, 1, 0, 1, 0.0169426, 23, 1, 0, 8, 0, 2, 1, 0, 0.00134551, 21, 2, 1, 8, 0, 1, 2, 1, 0.0133536, 20, 1, 2, 9, 0, 0, 1, 2, 0.0553674, 20, 0, 1, 11, 0, 0, 0, 1, 0.0169426, 20, 0, 0, 12, 0, 1, 0, 0, 0.00102531, 19, 1, 0, 12, 0, 0, 1, 0, 0.00613614, 19, 0, 1, 12, 0, 0, 0, 1, 0.00720857, 19, 0, 0, 13, 0, 0, 0, 0, 0.00256132, 19, 0, 0, 13, 0, 0, 0, 0, 0.00290551, 19, 0, 0, 13, 0, 0, 0, 0, 0.00450752, 19, 0, 0, 13, 0, 0, 0, 0, 0.00176606, 19, 0, 0, 13, 0, 0, 0, 0, 0.00463451, 19, 0, 0, 13, 0, 0, 0, 0, 0.00697068, 19, 0, 0, 13, 0, 0, 0, 0, 0.00176628, 19, 0, 0, 13, 0, 0, 0, 0, 0.000501313, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 3000,1
-1.62079,-0.156926,0.955501,0.312926,0.15333,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0771912, 29, 1, 2, 0, 0, 1, 1, 0, 0.0828761, 28, 1, 3, 0, 0, 3, 1, 1, 0.0363979, 25, 3, 3, 1, 0, 0, 3, 1, 0.0540971, 25, 0, 5, 2, 0, 0, 0, 3, 0.0304249, 25, 0, 2, 5, 0, 1, 0, 0, 0.0555456, 24, 1, 2, 5, 0, 0, 1, 1, 0.068943, 24, 0, 2, 6, 0, 1, 0, 1, 0.0363979, 23, 1, 1, 7, 0, 2, 1, 0, 0.0139478, 21, 2, 2, 7, 0, 1, 2, 0, 0.0269196, 20, 1, 4, 7, 0, 0, 1, 2, 0.116258, 20, 0, 3, 9, 0, 0, 0, 1, 0.0540971, 20, 0, 2, 10, 0, 1, 0, 1, 0.0135516, 19, 1, 1, 11, 0, 0, 1, 0, 0.0319097, 19, 0, 2, 11, 0, 0, 0, 1, 0.0141854, 19, 0, 1, 12, 0, 0, 0, 0, 0.00934884, 19, 0, 1, 12, 0, 0, 0, 1, 0.00854131, 19, 0, 0, 13, 0, 0, 0, 0, 0.00417381, 19, 0, 0, 13, 0, 0, 0, 0, 0.00250552, 19, 0, 0, 13, 0, 0, 0, 0, 0.00468508, 19, 0, 0, 13, 0, 0, 0, 0, 0.00320158, 19, 0, 0, 13, 0, 0, 0, 0, 0.000814434, 19, 0, 0, 13, 0, 0, 0, 0, 0.00016713, 19, 0, 0, 13, 0, 0, 0, 0, 0.000195008, 19, 0, 0, 13, 0, 0, 0, 0, 6.50151e-05, 19, 0, 0, 13, 0, 0, 0, 0, 2.1675e-05, 19, 0, 0, 13, 0, 0, 0, 0, 0, 4000,2
-1.47306,-0.134719,0.577796,0.318179,0.175327,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0889172, 29, 1, 2, 0, 0, 1, 1, 0, 0.0954202, 28, 1, 3, 0, 0, 3, 1, 1, 0.0420687, 25, 3, 3, 1, 0, 0, 3, 1, 0.0624346, 25, 0, 5, 2, 0, 0, 0, 3, 0.0351822, 25, 0, 2, 5, 0, 1, 0, 0, 0.0607855, 24, 1, 2, 5, 0, 0, 1, 1, 0.0753956, 24, 0, 2, 6, 0, 1, 0, 1, 0.0420687, 23, 1, 1, 7, 0, 2, 1, 0, 0.0153893, 21, 2, 2, 7, 0, 1, 2, 0, 0.0299957, 20, 1, 4, 7, 0, 0, 1, 2, 0.133475, 20, 0, 3, 9, 0, 0, 0, 1, 0.0624346, 20, 0, 2, 10, 0, 1, 0, 1, 0.015112, 19, 1, 1, 11, 0, 0, 1, 0, 0.0334852, 19, 0, 2, 11, 0, 0, 0, 1, 0.0155556, 19, 0, 1, 12, 0, 0, 0, 0, 0.00937145, 19, 0, 1, 12, 0, 0, 0, 1, 0.00858555, 19, 0, 0, 13, 0, 0, 0, 0, 0.0031289, 19, 0, 0, 13, 0, 0, 0, 0, 0.00192, 19, 0, 0, 13, 0, 0, 0, 0, 0.00401201, 19, 0, 0, 13, 0, 0, 0, 0, 0.00204053, 19, 0, 0, 13, 0, 0, 0, 0, 0.000348305, 19, 0, 0, 13, 0, 0, 0, 0, 9.13334e-05, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 5000,2
-1.86846,-0.0917896,0.891224,0.231924,0.209411,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0607836, 29, 1, 2, 0, 0, 1, 1, 0, 0.0653033, 28, 1, 3, 0, 0, 3, 1, 1, 0.028528, 25, 3, 3, 1, 0, 0, 3, 1, 0.0424853, 25, 0, 5, 2, 0, 0, 0, 3, 0.0238304, 25, 0, 2, 5, 0, 1, 0, 0, 0.0432427, 24, 1, 2, 5, 0, 0, 1, 1, 0.053758, 24, 0, 2, 6, 0, 1, 0, 1, 0.028528, 23, 1, 1, 7, 0, 2, 1, 0, 0.010817, 21, 2, 2, 7, 0, 1, 2, 0, 0.0209445, 20, 1, 4, 7, 0, 0, 1, 2, 0.0919683, 20, 0, 3, 9, 0, 0, 0, 1, 0.0424853, 20, 0, 2, 10, 0, 1, 0, 1, 0.0105276, 19, 1, 1, 11, 0, 0, 1, 0, 0.0246026, 19, 0, 2, 11, 0, 0, 0, 1, 0.0109905, 19, 0, 1, 12, 0, 0, 0, 0, 0.00713784, 19, 0, 1, 12, 0, 0, 0, 1, 0.00693789, 19, 0, 0, 13, 0, 0, 0, 0, 0.00369569, 19, 0, 0, 13, 0, 0, 0, 0, 0.00236742, 19, 0, 0, 13, 0, 0, 0, 0, 0.00612622, 19, 0, 0, 13, 0, 0, 0, 0, 0.0038624, 19, 0, 0, 13, 0, 0, 0, 0, 0.000817692, 19, 0, 0, 13, 0, 0, 0, 0, 0.00022386, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 6000,3
-2.18583,-0.0987397,0.794213,0.328026,0.259885,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0446294, 29, 1, 2, 0, 0, 1, 1, 0, 0.0479788, 28, 1, 3, 0, 0, 3, 1, 1, 0.0208515, 25, 3, 3, 1, 0, 0, 3, 1, 0.0311137, 25, 0, 5, 2, 0, 0, 0, 3, 0.0174067, 25, 0, 2, 5, 0, 1, 0, 0, 0.0312407, 24, 1, 2, 5, 0, 0, 1, 1, 0.0388972, 24, 0, 2, 6, 0, 1, 0, 1, 0.0208515, 23, 1, 1, 7, 0, 2, 1, 0, 0.00779043, 21, 2, 2, 7, 0, 1, 2, 0, 0.0151465, 20, 1, 4, 7, 0, 0, 1, 2, 0.0678299, 20, 0, 3, 9, 0, 0, 0, 1, 0.0311137, 20, 0, 2, 10, 0, 1, 0, 1, 0.00760214, 19, 1, 1, 11, 0, 0, 1, 0, 0.0175356, 19, 0, 2, 11, 0, 0, 0, 1, 0.00790338, 19, 0, 1, 12, 0, 0, 0, 0, 0.00501734, 19, 0, 1, 12, 0, 0, 0, 1, 0.00482044, 19, 0, 0, 13, 0, 0, 0, 0, 0.0023499, 19, 0, 0, 13, 0, 0, 0, 0, 0.00149454, 19, 0, 0, 13, 0, 0, 0, 0, 0.00373821, 19, 0, 0, 13, 0, 0, 0, 0, 0.00227542, 19, 0, 0, 13, 0, 0, 0, 0, 0.000464979, 19, 0, 0, 13, 0, 0, 0, 0, 0.0001264, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 7000,3
-1.73501,-0.165864,0.491709,0.400808,0.165843,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.0691544, 29, 1, 2, 0, 0, 1, 1, 0, 0.0742715, 28, 1, 3, 0, 0, 3, 1, 1, 0.0325337, 25, 3, 3, 1, 0, 0, 3, 1, 0.0484015, 25, 0, 5, 2, 0, 0, 0, 3, 0.0271859, 25, 0, 2, 5, 0, 1, 0, 0, 0.0465229, 24, 1, 2, 5, 0, 0, 1, 1, 0.0578114, 24, 0, 2, 6, 0, 1, 0, 1, 0.0325337, 23, 1, 1, 7, 0, 2, 1, 0, 0.01173, 21, 2, 2, 7, 0, 1, 2, 0, 0.0229622, 20, 1, 4, 7, 0, 0, 1, 2, 0.104389, 20, 0, 3, 9, 0, 0, 0, 1, 0.0484015, 20, 0, 2, 10, 0, 1, 0, 1, 0.0115478, 19, 1, 1, 11, 0, 0, 1, 0, 0.0252654, 19, 0, 2, 11, 0, 0, 0, 1, 0.0127135, 19, 0, 1, 12, 0, 0, 0, 0, 0.00784173, 19, 0, 1, 12, 0, 0, 0, 1, 0.00689544, 19, 0, 0, 13, 0, 0, 0, 0, 0.00294114, 19, 0, 0, 13, 0, 0, 0, 0, 0.00156583, 19, 0, 0, 13, 0, 0, 0, 0, 0.00297931, 19, 0, 0, 13, 0, 0, 0, 0, 0.00129809, 19, 0, 0, 13, 0, 0, 0, 0, 0.000315562, 19, 0, 0, 13, 0, 0, 0, 0, 6.41677e-05, 19, 0, 0, 13, 0, 0, 0, 0, 7.0331e-05, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 8000,3
-1.67936,-0.177331,0.922791,0.302788,0.220839,30, 1, 1, 0, 30, 1, 1, 0, 0, 1, 1, 0, 0.072964, 29, 1, 2, 0, 0, 1, 1, 0, 0.078351, 28, 1, 3, 0, 0, 3, 1, 1, 0.0343632, 25, 3, 3, 1, 0, 0, 3, 1, 0.0510994, 25, 0, 5, 2, 0, 0, 0, 3, 0.0287191, 25, 0, 2, 5, 0, 1, 0, 0, 0.0522339, 24, 1, 2, 5, 0, 0, 1, 1, 0.0648604, 24, 0, 2, 6, 0, 1, 0, 1, 0.0343632, 23, 1, 1, 7, 0, 2, 1, 0, 0.0131057, 21, 2, 2, 7, 0, 1, 2, 0, 0.0253268, 20, 1, 4, 7, 0, 0, 1, 2, 0.110022, 20, 0, 3, 9, 0, 0, 0, 1, 0.0510994, 20, 0, 2, 10, 0, 1, 0, 1, 0.0127446, 19, 1, 1, 11, 0, 0, 1, 0, 0.0298804, 19, 0, 2, 11, 0, 0, 0, 1, 0.0150535, 19, 0, 1, 12, 0, 0, 0, 0, 0.0104557, 19, 0, 1, 12, 0, 0, 0, 1, 0.00924997, 19, 0, 0, 13, 0, 0, 0, 0, 0.00563058, 19, 0, 0, 13, 0, 0, 0, 0, 0.0029654, 19, 0, 0, 13, 0, 0, 0, 0, 0.00532535, 19, 0, 0, 13, 0, 0, 0, 0, 0.00219258, 19, 0, 0, 13, 0, 0, 0, 0, 0.000503485, 19, 0, 0, 13, 0, 0, 0, 0, 0.000101221, 19, 0, 0, 13, 0, 0, 0, 0, 0.000102386, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 19, 0, 0, 13, 0, 0, 0, 0, 0, 9000,4
